rpm,rad/sec,Torque (lb*ft),Power (hp),Torque (Nm),Power (kW)
0,0.0,0,0,0,0
100,10.5,0,0,0,0
200,20.9,0,0,0,0
300,31.4,0,0,0,0
400,41.9,0,0,0,0
500,52.4,0,0,0,0
600,62.8,0,0,0,0
700,73.3,0,0,0,0
800,83.8,0,0,0,0
900,94.2,0,0,0,0
1000,104.7,0.002,0.0003808073115,0.002711635897,0.000283961847
1100,115.2,1.94612,0.4076031988,2.638584426,0.3039431063
1200,125.7,3.86768,0.8837044935,5.243869962,0.6589641339
1300,136.1,5.76668,1.42739604,7.818568246,1.064386118
1400,146.6,7.64312,2.037389185,10.36267928,1.51924813
1500,157.1,9.497,2.712395278,12.87620306,2.022589246
1600,167.6,11.32832,3.451125666,15.35913958,2.573448537
1700,178.0,13.13708,4.252291698,17.81148885,3.170865076
1800,188.5,14.92328,5.114604722,20.23325087,3.813877937
1900,199.0,16.68692,6.036776085,22.62442564,4.501526193
2000,209.4,18.428,7.017517136,24.98501315,5.232848917
2100,219.9,20.14652,8.055539223,27.31501341,6.006885182
2200,230.4,21.84248,9.149553694,29.61442642,6.822674061
2300,240.9,23.51588,10.2982719,31.88325217,7.679254627
2400,251.3,25.16672,11.50040518,34.12149068,8.575665953
2500,261.8,26.795,12.75466489,36.32914192,9.510947113
2600,272.3,28.40072,14.05976238,38.50620592,10.48413718
2700,282.7,29.98388,15.41440899,40.65268266,11.49427523
2800,293.2,31.54448,16.81731607,42.76857215,12.54040033
2900,303.7,33.08252,18.26719497,44.85387439,13.62155155
3000,314.2,34.598,19.76275704,46.90858938,14.73676797
3100,324.6,36.09092,21.30271363,48.93271711,15.88508867
3200,335.1,37.56128,22.88577609,50.92625759,17.06555271
3300,345.6,39.00908,24.51065575,52.88921081,18.27719917
3400,356.0,40.43432,26.17606398,54.82157678,19.51906712
3500,366.5,41.837,27.88071211,56.7233555,20.79019564
3600,377.0,43.21712,29.6233115,58.59454697,22.08962379
3700,387.5,44.57468,31.4025735,60.43515118,23.41639066
3800,397.9,45.90968,33.21720944,62.24516814,24.7695353
3900,408.4,47.22212,35.06593069,64.02459785,26.14809681
4000,418.9,48.512,36.94744859,65.77344031,27.55111424
4100,429.4,49.77932,38.86047449,67.49169551,28.97762668
4200,439.8,51.02408,40.80371973,69.17936346,30.4266732
4300,450.3,52.24628,42.77589566,70.83644416,31.89729286
4400,460.8,53.44592,44.77571363,72.4629376,33.38852475
4500,471.2,54.623,46.801885,74.05884379,34.89940793
4600,481.7,55.77752,48.8531211,75.62416273,36.42898148
4700,492.2,56.90948,50.92813328,77.15889441,37.97628448
4800,502.7,58.01888,53.0256329,78.66303884,39.54035598
4900,513.1,59.10572,55.1443313,80.13659602,41.12023508
5000,523.6,60.17,57.28293983,81.57956595,42.71496084
5100,534.1,61.21172,59.44016984,82.99194862,44.32357233
5200,544.5,62.23088,61.61473267,84.37374404,45.94510863
5300,555.0,63.22748,63.80533968,85.72495221,47.57860881
5400,565.5,64.20152,66.01070221,87.04557312,49.22311194
5500,576.0,65.153,68.22953161,88.33560679,50.8776571
5600,586.4,66.08192,70.46053922,89.59505319,52.54128336
5700,596.9,66.98828,72.70243641,90.82391235,54.21302979
5800,607.4,67.87208,74.9539345,92.02218425,55.89193547
5900,617.8,68.73332,77.21374486,93.1898689,57.57703947
6000,628.3,69.572,79.48057883,94.3269663,59.26738086
6100,638.8,70.38812,81.75314775,95.43347644,60.96199872
6200,649.3,71.18168,84.03016299,96.50939933,62.65993211
6300,659.7,71.95268,86.31033587,97.55473497,64.36022012
6400,670.2,72.70112,88.59237776,98.56948336,66.06190181
6500,680.7,73.427,90.875,99.55364449,67.76401626
6600,691.2,74.13032,93.15691394,100.5072184,69.46560254
6700,701.6,74.81108,95.43683092,101.430205,71.16569972
6800,712.1,75.46928,97.7134623,102.3226044,72.86334688
6900,722.6,76.10492,99.98551942,103.1844165,74.55758309
7000,733.0,76.718,102.2517136,104.0156414,76.24744743
7100,743.5,77.30852,104.5107563,104.816279,77.93197896
7200,754.0,77.87648,106.7613587,105.5863293,79.61021676
7300,764.5,78.42188,109.0022323,106.3257924,81.2811999
7400,774.9,78.94472,111.2320883,107.0346683,82.94396746
7500,785.4,79.445,113.4496382,107.7129569,84.59755851
7600,795.9,79.92272,115.6535933,108.3606583,86.24101212
7700,806.3,80.37788,117.8426649,108.9777724,87.87336737
7800,816.8,80.81048,120.0155644,109.5642992,89.49366332
7900,827.3,81.22052,122.171003,110.1202388,91.10093905
8000,837.8,81.608,124.3076923,110.6455911,92.69423364
8100,848.2,81.97292,126.4243435,111.1403562,94.27258616
8200,858.7,82.31528,128.5196679,111.604534,95.83503568
8300,869.2,82.63508,130.592377,112.0381246,97.38062127
8400,879.6,82.93232,132.641182,112.441128,98.90838201
8500,890.1,83.207,134.6647944,112.813544,100.417357
8600,900.6,83.45912,136.6619254,113.1553728,101.9065852
8700,911.1,83.68868,138.6312864,113.4666144,103.3751058
8800,921.5,83.89568,140.5715887,113.7472687,104.8219579
8900,932.0,84.08012,142.4815438,113.9973358,106.2461805
9000,942.5,84.242,144.3598629,114.2168156,107.6468126
9100,952.9,84.38132,146.2052574,114.4057082,109.0228934
9200,963.4,84.49808,148.0164387,114.5640135,110.373462
9300,973.9,84.59228,149.7921181,114.6917315,111.6975573
9400,984.4,84.66392,151.5310069,114.7888623,112.9942186
9500,994.8,84.713,153.2318165,114.8554059,114.2624847
9600,1005.3,84.73952,154.8932582,114.8913621,115.5013949
9700,1015.8,84.74348,156.5140434,114.8967312,116.7099882
9800,1026.3,84.72488,158.0928835,114.871513,117.8873037
9900,1036.7,84.68372,159.6284897,114.8157075,119.0323804
10000,1047.2,84.62,161.1195735,114.7293148,120.1442575
10100,1057.7,84.53372,162.5648462,114.6123348,121.2219739
10200,1068.1,84.42488,163.963019,114.4647676,122.2645688
10300,1078.6,84.29348,165.3128035,114.2866131,123.2710812
10400,1089.1,84.13952,166.6129109,114.0778714,124.2405502
10500,1099.6,83.963,167.8620526,113.8385424,125.1720149
10600,1110.0,83.76392,169.0589398,113.5686262,126.0645144
10700,1120.5,83.54228,170.2022841,113.2681227,126.9170877
10800,1131.0,83.29808,171.2907966,112.9370319,127.7287739
10900,1141.4,83.03132,172.3231889,112.5753539,128.4986121
11000,1151.9,82.742,173.2981721,112.1830887,129.2256413
11100,1162.4,82.43012,174.2144577,111.7602362,129.9089006
11200,1172.9,82.09568,175.070757,111.3067964,130.5474292
11300,1183.3,81.73868,175.8657814,110.8227694,131.140266
11400,1193.8,81.35912,176.5982422,110.3081552,131.6864501
11500,1204.3,80.957,177.2668507,109.7629536,132.1850207
11600,1214.7,80.53232,177.8703184,109.1871649,132.6350167
11700,1225.2,80.08508,178.4073564,108.5807889,133.0354773
11800,1235.7,79.61528,178.8766763,107.9438256,133.3854416
11900,1246.2,79.12292,179.2769893,107.2762751,133.6839485
12000,1256.6,78.608,179.6070069,106.5781373,133.9300372
12100,1267.1,78.07052,179.8654402,105.8494122,134.1227468
12200,1277.6,77.51048,180.0510008,105.0901,134.2611163
12300,1288.1,76.92788,180.1623998,104.3002004,134.3441848
12400,1298.5,76.32272,180.1983488,103.4797136,134.3709913
12500,1309.0,75.695,180.157559,102.6286396,134.3405751
12600,1319.5,75.04472,180.0387418,101.7469783,134.251975
12700,1329.9,74.37188,179.8406085,100.8347298,134.1042302
12800,1340.4,73.67648,179.5618705,99.89189395,133.8963798